X,Y,Red,NIR,Class
25,85,2850.0,3058.0,0
30,85,6857.0,5883.0,0
35,85,9058.0,8237.0,0
40,85,7045.0,6390.0,0
45,85,8497.0,7859.0,0
50,85,1467.0,2035.0,0
55,85,1131.0,1806.0,0
60,85,763.0,1362.0,0
65,85,182.0,202.0,0
70,85,886.0,1692.0,1
75,85,759.0,1620.0,1
80,85,1006.0,1883.0,0
85,85,341.0,581.0,0
90,85,779.0,1965.0,1
95,85,2561.0,2506.0,0
100,85,790.0,2633.0,1
105,85,437.0,1356.0,1
110,85,497.0,1614.0,1
115,85,348.0,1074.0,1
120,85,844.0,1713.0,1
125,85,618.0,1825.0,1
130,85,608.0,1927.0,1
135,85,965.0,3278.0,1
140,85,832.0,2808.0,1
145,85,831.0,2357.0,1
150,85,1002.0,2264.0,1
